ID,MHPD_0,MHPD_15,MHPD_20,MHPD_25,MHPD_30,MT_0,MT_15,MT_20,MT_25,MT_30
104,0.0,0.05447673073147452,0.10473254795827336,0.1855684313458219,0.3026428876893368,0.0,0.0553,0.1059,0.18265,0.2954
105,0.0,0.03869271059749402,0.08886212353689149,0.1736822670651016,0.2985983928531566,0.0,0.03665,0.08585,0.1658,0.28515
106,0.0,0.06340523370767781,0.11432161110544559,0.19307024625550795,0.30495874015479496,0.0,0.065,0.11635,0.1904,0.29545
107,0.0,0.06199900658578772,0.11739728021757478,0.2052610027616778,0.3305720547035961,0.0,0.061,0.11745,0.19995,0.3199
108,0.0,0.06773238561498285,0.12419200002114184,0.21191836817301357,0.33555106604437235,0.0,0.0658,0.1204,0.2053,0.3222
109,0.0,0.047411334765196655,0.10882637085958669,0.21170752285307382,0.3597321259332614,0.0,0.04715,0.1085,0.20765,0.3422
110,0.0,0.036330919734953504,0.0803079854337726,0.15461121135698874,0.26554085463740984,0.0,0.0374,0.08125,0.1522,0.2561
111,0.0,0.03750692793946986,0.08022298200004863,0.15161452158000632,0.257452869987835,0.0,0.03695,0.07785,0.1486,0.244
112,0.0,0.05590226979290447,0.10275341857941445,0.1759799050444616,0.28116984753945296,0.0,0.0552,0.10305,0.1718,0.26965
113,0.0,0.038363542273079365,0.08362824119668677,0.16038989878585652,0.2748017273619965,0.0,0.0389,0.0859,0.1585,0.26325
114,0.0,0.035843702192694615,0.07371642656072841,0.13704286503830165,0.23231318230285414,0.0,0.03555,0.07005,0.13025,0.2227
115,0.0,0.05951401554151414,0.10562781131331933,0.1767700430320489,0.2784191854676712,0.0,0.06005,0.1051,0.17475,0.27335
116,0.0,0.028200450471827287,0.06312928590226707,0.12384909409840339,0.21762170852014429,0.0,0.0288,0.06225,0.1191,0.207
117,0.0,0.05201793003513211,0.09766601918072326,0.17028467040477335,0.27557310765772414,0.0,0.05055,0.09645,0.16295,0.263
118,0.0,0.03545741321091289,0.07986214209608777,0.15589303292663104,0.27026335076063746,0.0,0.0334,0.07725,0.1524,0.26215
119,0.0,0.03354448437239743,0.07475450326621813,0.14547863739817002,0.2528933619830338,0.0,0.0341,0.07275,0.1372,0.23925
120,0.0,0.03910842898761402,0.07986501256736356,0.14707807959785002,0.2471701264312226,0.0,0.03835,0.07705,0.14205,0.2371
121,0.0,0.03907648937580854,0.09222004211034851,0.1839267446733195,0.31991678102656884,0.0,0.0397,0.0907,0.1787,0.3024
122,0.0,0.059097020735575656,0.10435408892554765,0.17414735505984824,0.2741131791701207,0.0,0.0602,0.10565,0.17325,0.26775
123,0.0,0.0770508532261498,0.13566031827837943,0.22417254539693032,0.34686873489246384,0.0,0.0763,0.1337,0.21925,0.33235
124,0.0,0.04716993925317492,0.08741130329121938,0.151338798258699,0.24451726066602786,0.0,0.0463,0.08555,0.1452,0.2341
125,0.0,0.06538222363053703,0.12270490583554727,0.2127916401979577,0.33985520175130746,0.0,0.0618,0.1161,0.2025,0.3213
126,0.0,0.07622851420822985,0.12063650162927397,0.183348673297707,0.26922412432230347,0.0,0.0766,0.1218,0.18065,0.26795
127,0.0,0.038634271349692995,0.08781969811186718,0.17260832046816033,0.29980818722718094,0.0,0.037,0.0858,0.1631,0.28355
128,0.0,0.033296388251190745,0.07098135971455044,0.13486903345347434,0.23169344706858008,0.0,0.0326,0.0682,0.12885,0.22325
129,0.0,0.06801536664256058,0.12119245583093274,0.20241345627895269,0.31631322797495987,0.0,0.06835,0.1226,0.19465,0.30735
130,0.0,0.0661951009948939,0.11834310061718012,0.19828546820310922,0.31048223749460346,0.0,0.06655,0.11465,0.19235,0.2985
131,0.0,0.026741987038273574,0.05903122616879486,0.11457473985612066,0.20005066998287413,0.0,0.0272,0.05895,0.11175,0.1939
