0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.0,0.00265,0.00635,0.0109,0.0162,0.02135,0.0294,0.03965,0.05075,0.0625,0.07745,0.09355,0.11185,0.1331,0.15805,0.1846,0.2122,0.2442,0.2783,0.31415,0.35075,0.39155,0.43305,0.47335,0.51785,0.56125,0.6063,0.64775,0.68855,0.72885,0.76665,0.80275,0.83485,0.8634,0.88835,0.9103,0.9296,0.9442,0.95675,0.9658,0.9742
0.0,0.01235,0.02465,0.0378,0.0531,0.06695,0.08285,0.09955,0.1189,0.1367,0.15725,0.18,0.2041,0.23055,0.2554,0.2834,0.3144,0.34595,0.3795,0.4142,0.45245,0.4879,0.5269,0.5648,0.6048,0.6413,0.67765,0.71405,0.74705,0.77885,0.8089,0.8362,0.86195,0.88555,0.90545,0.92325,0.93775,0.95145,0.96195,0.9712,0.97725
0.0,0.00995,0.0201,0.03055,0.0423,0.05635,0.0719,0.0872,0.10305,0.1206,0.13855,0.15985,0.1819,0.20595,0.23405,0.26115,0.2904,0.32225,0.3569,0.3909,0.42635,0.4627,0.50015,0.53645,0.57295,0.61315,0.6492,0.68625,0.72175,0.756,0.7873,0.81795,0.84395,0.86955,0.8908,0.91015,0.92735,0.9415,0.95445,0.9657,0.974
0.0,0.00575,0.0108,0.017,0.0233,0.0313,0.0404,0.05075,0.06195,0.07525,0.08995,0.10715,0.12595,0.1466,0.1679,0.1915,0.21585,0.2431,0.27165,0.30365,0.33965,0.3742,0.4103,0.44855,0.4889,0.52725,0.5676,0.6069,0.64755,0.68535,0.72385,0.75805,0.79045,0.82175,0.84815,0.87275,0.8945,0.9137,0.93085,0.9461,0.95875
0.0,0.0038,0.0083,0.01435,0.02075,0.02925,0.03725,0.04745,0.05935,0.07335,0.0884,0.1043,0.12185,0.1433,0.1636,0.1858,0.2129,0.2421,0.2741,0.3079,0.34335,0.3799,0.4195,0.4574,0.49725,0.5385,0.5791,0.6217,0.6619,0.69965,0.7379,0.7735,0.80665,0.83785,0.8667,0.8896,0.9105,0.92775,0.94255,0.95525,0.9652
0.0,0.0046,0.0095,0.0146,0.0222,0.02945,0.0387,0.0482,0.0591,0.0714,0.08495,0.10125,0.1194,0.1397,0.1602,0.181,0.2053,0.2314,0.25925,0.29115,0.32525,0.36145,0.39655,0.43255,0.4736,0.5138,0.55535,0.59405,0.63305,0.67245,0.70835,0.74365,0.7792,0.81145,0.83975,0.86635,0.88875,0.9102,0.92895,0.94365,0.95485
0.0,0.002,0.00565,0.0096,0.0145,0.01945,0.02645,0.0349,0.04375,0.0542,0.06505,0.0776,0.0915,0.108,0.12535,0.1454,0.1669,0.1902,0.21755,0.2443,0.27605,0.30975,0.345,0.3839,0.4227,0.4629,0.5007,0.5397,0.57775,0.6173,0.65505,0.69195,0.7286,0.7621,0.7937,0.82415,0.8496,0.87565,0.8967,0.91395,0.92995
0.0,0.00235,0.0051,0.0084,0.0122,0.01715,0.02355,0.031,0.0382,0.04755,0.0561,0.06815,0.0829,0.09825,0.1144,0.136,0.15775,0.1822,0.2062,0.2349,0.26625,0.2998,0.33625,0.3732,0.4094,0.4509,0.4887,0.5277,0.57115,0.6109,0.64765,0.6902,0.72685,0.7621,0.7941,0.82425,0.85095,0.8776,0.8997,0.91725,0.93205
0.0,0.0008,0.00255,0.00515,0.00845,0.0116,0.0167,0.0216,0.02845,0.03665,0.04705,0.0575,0.0707,0.086,0.1009,0.12125,0.14095,0.16395,0.1892,0.2151,0.24395,0.2766,0.3096,0.3455,0.3807,0.4211,0.46125,0.50165,0.5428,0.58335,0.6244,0.6645,0.70095,0.7367,0.7706,0.80235,0.83145,0.8569,0.8824,0.90405,0.9221
0.0,0.00475,0.0099,0.01625,0.0227,0.03045,0.0387,0.04795,0.0597,0.071,0.08275,0.0966,0.11095,0.128,0.14905,0.16975,0.1936,0.2196,0.2453,0.27245,0.3025,0.3364,0.3694,0.40535,0.4437,0.4822,0.5217,0.5592,0.5976,0.6362,0.6746,0.71255,0.74705,0.7798,0.80955,0.8382,0.86315,0.88735,0.908,0.92535,0.93925
